What is a Computer Program?,A computer program is a set of instructions that we want a computer to perform.
What is an Algorithm?,"The step by step process that we want a program to accomplish. i.e. If we want to write a computer program to toast a piece of bread, we would first write an algorithm. This algorithm might look something like this: 1. Take the bread out of the bag. 2. Place the bread in the toaster. 3. Press the toast button. 4. Wait for the toast to pop up. 5. Remove the toast from the toaster. At first glance, this algorithm seems to solve our problem. However, our algorithm leaves out many details and makes many assumptions, for example: 1. What kind of toast does our user want? Does the user want white bread, wheat, or some other kind of bread? 2. How does the user want the bread toasted, light or dark? 3. What does the user want on the bread after it is toasted: butter, margarine, honey, or strawberry jam? 4. Maybe the user wanted another kind of toast, like French toast or garlic toast, which is prepared by means other than a toaster. 5. Does this algorithm work for all your users in their cultures and languages? Now, you might be thinking we are getting too detailed for just doing a simple toast program. Over the years, software development has the reputation of taking too long, costing too much, and not being what the user wants. This reputation came to be because computer programmers often start writing their programs before they have really thought through their algorithms."
What is Design Requirements?,"The key ingredients to making successful applications starts with design requirements. Design requirements can be very formal and detailed or a simple list on a piece of paper. The importance of design requirements is they help the developer flesh out what the application should do and not do when complete. Design requirements should not be completed in a programmer’s vacuum but should be a collaboration between developers, users, and customers. Design requirements usually begin by asking clients, customers, and or stakeholders how the application should work, what problems it should solve, and how the app should solve the problem. Requirements can include long or short narrative descriptions of the app, screen mockups, and formulas."
User Interface?,"key ingredient to your successful app is the user interface (UI) design. Many software developers start with the UI design, and after laying out all the screen elements and having many users look at paper mock-ups, they then write out the design requirements from their screen layouts. Once you have done your best to flesh out all the design requirements, laid out all the user interface screens, and had the client(s) or potential customers look at your design and give you feedback, coding can begin. Once coding begins, design requirements and user interface screens can change, but the changes are typically minor and easily accommodated by the development process."
What is a Bug?,"After programming, we need to make sure our program 1) matches the design requirements 2) user interface design 3) there are no errors. In programming vernacular, errors are called bugs."
What is Quality Assurance (QA)?,Someone who is experienced in software testing methodology and who didn’t write the app performs this testing. Software testing is commonly referred to as Quality Assurance (QA).
Debugging?,"During the testing phase, the developer will need to work with QA staff to determine why the application is not working as designed. The process is called debugging. Frequently during testing and debugging, changes to the requirements (design) need to occur to make the application more usable for the customer. Once the design requirements and user interface changes are made, the process begins over again."
Object Oriented Proramming (OOP)?,"a programming paradigm that represents concepts as ""objects"" that have data fields (attributes that describe the object) associated procedures known as methods. \ Objects, which are usually instances of classes, are used to interact with one another to design applications and computer programs."
"What is an object, property, method?",An object is a bucket of nouns and verbs A attribute/property is a noun in the bucket A method is a verb in the bucket
What is an Integrated Development Environment?,"A computer programmer that records input, sends to interpreter, and receives output"
A bit?,the basic unit of information used by computers to store and manipulate data. A bit has a value of either 0 or 1.
