In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
How can a layered approach to OS design simplify the design process?	Layers are designed so that each layer will only use functions and services of the layers below it. One layer can be designed, implemented, and debugged before any higher-level layers make use of its features.		
What is one problem with a layered approach to OS design?	Layered OS implementations tend to be less efficient; when a high-level layer uses a low-level feature, control of execution may pass between several layers; this passing of control may involve duplication of data, passing of parameters, etc. Each layer adds some amount of overhead.		For example, when a user process makes a call to execute an I/O operation, the system call is then trapped to the I/O layer, which might call the memory management layer, which might call the CPU-scheduling layer, and so on.
Give one example of a microkernel architecture.	"The Mach microkernel, developed by researches at Carnegie Mellon in the 1980's."		
Briefly describe the design approach used by microkernels:	All non-critical system features are removed from the kernel and implemented as system or user-level programs. These programs communicate via message passing, sending and recieving messages between services. Message passing is facilitated by the kernel, which must offer the interface for interprocess communication (IPC).		
The services included with a microkernel design communicate via ________.	message passing		
List 3 benefits of the microkernel design for operating systems:	1. Ease of extending functionality (by adding services without modifying kernel code). 2. Ease of porting from one hardware architecture to another. 3. Greater security and reliability (more code runs in user spacei).		
Give one drawback of microkernel design:	Microkernels can suffer from performance decreases due to increased system function overhead (frequency of context-switching back-and-forth between kernel and user space when passing messages, etc).		
List 3 different design strategies for operating systems:	1. Layered approach. 2. Microkernel approach. 3. Modular approach (dynamically loaded modules).		
Briefly describe the organization of the macOS operating system:	macOS takes a hybrid approach, using both layered and microkernel design techniques. It incorporates three primary components: 1. The Mach microkernel, which provides (a) memory management, (b) IPC and RPC communications, and (c) thread scheduling. 2. The BSD kernel, which provides POSIX APIs (including Pthreads), a BSD command line interface, and support for network and file systems. 3. Application environments and common services, including a graphical interface.		macOS also provides an I/O SDK that allows developers to write new device drivers and dynamically loadable modules (called kernel extensions).
What is a virtual machine?	"An abstraction of one computer's hardware (CPU, memory, storage devices, etc) into multiple homogenous execution environments—creating the illusion that each environment posesses its own private computer."		
Virtual machines execute only in ________ mode.	user mode		
"The virtual machine manager runs in a ""virtual ________ mode"", which itself executes in physical user mode."	virtual kernel mode		"Programs running on the virtual machine are said to execute in ""virtual user mode""."
What happens when a program, running on a virtual machine, makes a system call?	Execution control moves to the virtual machine monitor running in virtual kernel mode (still in user mode). The monitor program may change the register contents and program counter for the virtual machine to simulate the effect of the system call.		
Describe 3 examples of commercial virtual machine products:	"1. VMware: Abstracts Intel x86 architecture into isolated virtual machines. Allows a host operating system (with VMware running) to also run multiple virtualized operating systems on the same machine. Each VM recieves its own virtual CPU, virtual memory, virtual devices, etc. 2. The Java virtual machine (JVM): Consists of (a) the Java class loader, which verifies a class's architecture-independent bytecode, and (b) the Java interpreter. The JVM automatically manages memory using a garbage collector. 3. Microsoft .NET Framework: Provides a virtual machine as an intermediary between an executing .NET program and the underlying hardware architecture. The virtual machine is implemented as the Common Language Runtime (CLR). Programs written in C# or VB.NET are compiled into architecture-agnostic intermediate ""binaries"" in the form of Microsoft Intermediate Language (MS-IL); the CLR loads these binaries and executes them on the underlying hardware using just-in-time (JIT) compilation."		
"List some parameters that may be used during OS system generation (""sysgen""):"	1. What are the features of the CPU(s)—extended instruction set, floating-point operations, etc? 2. How much physical memory is available? 3. What hardware devices are available? 4. OS-specific options (CPU-scheduling algorithm, process limit, etc).		
What steps are typically taken by a boostrap loader?	1. Run hardware diagnostics. 2. Initialize CPU register values, device controllers, memory contents, etc.3. Locate the kernel image (stored on a boot volume). 4. Load the kernel into main memory. 5. Start the kernel.		
Where does a computer begin code execution after a reset?	The first instruction is fetched from a pre-defined address—usually the start of the bootstrap program. The memory location is a location in read-only memory (ROM), which stores the initial bootstrap program.		
Which form of memory is typically faster—RAM or ROM?	RAM (SDRAM) forms each memory cell from a transistor and a capacitor. RAM cards can be read more quickly than ROM cards, which use a floating gate and control gate to store each persistent bit of data.		"Sometimes, an operating system's boot loader is stored on ROM and copied into RAM before its execution actually begins. The net result is a faster boot."
What is the boot block?	Often, the initial bootstrap loader will read and copy a single block (block zero) from disk into memory. This block is known as the boot block. The code that resides in the boot block is often responsible for loading the remainder of the bootstrap program into main memory from elsewhere on disk.		
A physical disk that stores a bootstrap program (in a boot block) is called a ________.	"""boot disk"" (or ""system disk"")"		
"Define a ""process"":"	A program in execution.		
Batch systems sometimes refer to their processes as ________.	jobs		
List 5 components of a process:	1. A text section (i.e., program code). 2. The data section (i.e., global variables). 3. The state of the processor registers (including the program counter). 4. A stack. 5. A heap.		
List 5 generic states that a process might be in:	1. New (created). 2. Running (currently executing its code). 3. Waiting (on some event or signal). 4. Ready (waiting to become the active process). 5. Terminated (finished).		
Operating systems represent each process using a ________ data structure.	"Process control block (PCB) (also called a ""task control block"")."		
List 7 details that might be stored in a process control block:	"1. The process's current state. 2. A program counter. 3. The state of the CPU registers. 4. CPU scheduling information (priority, queue pointer, etc). 5. Memory management information (page tables, etc). 6. I/O status information (list of open files, etc). 7. Accounting information."		
When a new process is created, it enter the ________.	the job queue.		The job queue consists of all processes in the system.
"Processes that are ""ready"" and waiting to be scheduled are kept on a ________."	a ready queue.		The ready queue is commonly implemented as a linked list of process control blocks (PCBs). Each PCB includes a pointer to the next process (block) in the list.
"Processes waiting on a given device may be placed on that device's ________."	device queue.		Each device is given its own device queue by the operating system.
When a process in the ready queue is selected for execution (i.e., made the new active process), we say that it has been ________.	dispatched		
A process is normally categorized as either ________-bound or ________-bound.	CPU-bound or I/O-bound		
What state information needs to be saved during a context switch?	1. The values of the CPU registers. 2. The process state. 3. Memory management information associated with the process.		
The collection of parent and child processes in a system form the ________.	process tree		
The ________ process serves as the root parent process for all user processes.	The init process.		
On UNIX, a list of all processes can be obtained using the ________ command.	The ps command.		
What flags are passed to ps to output only active processes?	The -e and -l flags.	ps -el UID PID PPID F CPU PRI NI SZ RSS WCHAN S ADDR TTY TIME CMD 0 1 0 4004 0 37 0 4376152 16700 - Ss 0 ?? 12:43.08 /sbin/launchd 0 48 1 4004 0 4 0 4351652 1228 - Ss 0 ?? 0:27.30 /usr/sbin/syslogd 0 49 1 4004 0 37 0 4382348 6316 - Ss 0 ?? 0:58.66 /usr/libexec/UserEventAgent (Sys 0 52 1 4004 0 20 0 4341096 484 - Ss 0 ?? 0:05.55 /System/Library/PrivateFramework 0 53 1 4004 0 37 0 4386572 11080 - Ss 0 ?? 0:36.42 /usr/libexec/kextd	
When a parent creates a new child process, what two paths of execution may occur?	1. The parent continues execution concurrently with the child. 2. The parent waits until the child terminates before resuming execution.		
On UNIX, new child processes are created through the ________ system call.	The fork() system call.		
What is the return value of the fork() system call?	1. The parent process recieves the PID of the new child process. 2. The child process recieves a NULL (0) value.		
"The fork() system call creates a copy of the parent's ________ for the child."	address space		This allows the parent to communicate easily with the child.
Why would we use the exec() system call after calling fork()?	To use the child process to load and run a different program (binary).		
On UNIX, what does the wait() system call accomplish?	It removes the (calling) parent process from the ready queue until the child process terminates.		The wait() call will return the status code emitted by the child process at its termination.
The Win32 API provides the ________ system call for creating child processes.	CreateProcess()		
What UNIX system call is used to terminate the current process?	The exit() system call.		Processes can pass a status code (integer) as a parameter to exit().
What cleanup activities might be performed during a call to exit()?	Deallocation of physical and/or virtual memory, open file handles, I/O buffers, etc.		
In UNIX, if a parent process terminates while one or more child processes are running, those child processes become children of the ________ process.	The init process.		
What distinguishes an independent process from a cooperating process?	Unlike an independent process, a cooperating process can affect and be affected by other processes executing in the system.		
What are the 2 fundamental approaches to interprocess communication (IPC)?	1. Shared memory: Reading and writing of data to a shared region of memory. 2. Message passing Exchanging messaging between cooperating processes.		
What interprocess communication approach is normally the fastest?	Shared memory.		
Briefly describe the shared memory approach to interprocess communication:	"One process will request a shared memory segment from the operating system. The memory region will reside in this process' address space. Other processes must attach the region to their own address space."		Both processes must agree to share the memory.
Describe the producer-consumer problem:	A producer process produces information (data) that is consumed by a consumer process. The producer and consumer must be synchronized so that the consumer does not try to consume an item that has not yet been produced.		One approach to solving this problem is to allocate an item buffer in shared memory.
Messaging passing allows processes to communicate without sharing the same ________.	address space		
List the 2 fundamental message passing operations:	1. send(message) 2. receive(message)		
What options might a designer consider when implementing a message passing mechanism?	1. Direct or indirect communcation (is there a message broker?). 2. Synchronous or asynchronous communication. 3. Symmetrical or asymmetrical message addressing. 4. Automatic or explicit message buffering. 5. Bounded or unbounded message buffering. 6. Blocking or non-blocking send. 7. Blocking or non-blocking recieve.		
Under a direct communication model, the communication link exists between how many processes?	Exactly 2 processes		
Under an indirect communication model, messaging are sent and received from ____.	mailboxes (or ports).		
POSIX message queues use ________ to identify individual mailboxes.	An integer value		
Briefly describe the differences between direct and indirrect (mailbox) models for interprocess communication:	With direct communication, links exist between exactly 2 processes. Each process must explicitly identify the other. WIth indirect (mailbox) communication, multiple processes may share the same mailbox. Some arbitrary number of processes may be configured to receive messages from that mailbox.		System semantics will determine whether all listening processes will receive a message that arrives at a given mailbox. An algorithm (such as round-robin) may be used to select which listening process should receive the message.
A non-blocking receive operation will yield either ________ or ________.	A valid message, or a null value.		
What POSIX API is used to allocate a shared memory segment?	The shmget() system call.	/* allocate a shared memory segment with read and write modes */ segment_id = shmget(IPC_PRIVATE, size, S_IRUSR | S_IWUSR)	
What POSIX API is used to attach to an existing shared memory segment?	The shmat() system call.	/* attach the shared memory segment */shared_memory = (char *) shmat(id, null, 0);	
What POSIX API is used to detach an existing shared memory segment?	The shmdt() system call.	/* detach the shared memory segment */shmdt(shared_memory);	
User and system processes use ________ to call into the Mach kernel.	message passing		
When a process attempts to pass a message to a mailbox that is full, in what ways can the process respond?	"1. Wait indefinitely until there is room in the mailbox. 2. Wait at most n milliseconds. 3. Do not wait. Return from the send() call immediately. 4. Have the kernel temporarily ""cache"" the message on the process's behalf."		
A collection of mailboxes can be organized into a ________.	A mailbox set.		
Mach offers the ________ and ________ system calls to send and receive messages. It also offers the ________ call to invoke remote procedure calls (RPC).	1. msg_send() 2. msg_receive() 3. msg_rpc()		
Mach processes can use the ________ system call to check for messages in a specified mailbox.	The port_status() system call.		
How might an operating system support large message payloads between processes?	Small messages (e.g., up to 256 bytes) can be stored directly in the message queue associated with a port. Large messages can be sent by (a) allocating a section object (a region of shared memory) to store the payload, and (b) sending a small message that contains a pointer and size information about the section object.		
