"1. front - back
2. What is Hamming Code? - In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.
3. What is the square root of 256? - 16
4. 2^16 - 65,536
5. Using bitwise operations, how would you test that a number is a power of 2? - bool isPowerOfTwo = (x & (x - 1))
6. What does ELF stand for? - Executable and Linkable Format. It's a common standard file format for executables, object code, shared libraries, and core dumps.","[Front: front Back: back],
[Front: What is Hamming Code? Back: In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.],
[Front: What is the square root of 256? Back: 16],
[Front: 2^16 Back: 65,536],
[Front: Using bitwise operations, how would you test that a number is a power of 2? Back: bool isPowerOfTwo = (x & (x - 1);],
[Front: What does ELF stand for? Back: Executable and Linkable Format. It's a common standard file format for executables, object code, shared libraries, and core dumps.]"
"1. example of a latency device - CPU core
2. example of a throughput device - GPU core
3. What is the Hamming Distance? - A number used to denote the number of differences between two binary strings of the same length.
4. What are the 5 steps of the compiling process? - Lexical Analysis Parsing Semantic Analysis Optimization Code Generation
5. What is parsing? - Combining tokens and groups of tokens into a tree structure (a parse tree).
6. What is lexical analysis? - The process of dividing program text into words or tokens.
7. What is code generation? - Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code)","[Front: example of a latency device Back: CPU core],
[Front: example of a throughput device Back: GPU core],
[Front: What is the Hamming Distance? Back: A number used to denote the number of differences between two binary strings of the same length.],
[Front: What are the 5 steps of the compiling process? Back: Lexical Analysis Parsing Semantic Analysis Optimization Code Generation],
[Front: What is parsing? Back: Combining tokens and groups of tokens into a tree structure (a parse tree).],
[Front: What is lexical analysis? Back: The process of dividing program text into words or tokens.],
[Front: What is code generation? Back: Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code)]"
"1. 4 * 16 - 64
2. 2 ^ 4 - 16
3. 2^3 - 8","[Front: 4 * 16 Back: 64],
[Front: 2 ^ 4 Back: 16],
[Front: 2^3 Back: 8]"
"- 2^5 = 32
- 2^6 = 64
- 2^7 = 128
- 2^8 = 256
- 2^9 = 512","[Front: 2^5 Back: 32],
[Front: 2^6 Back: 64],
[Front: 2^7 Back: 128],
[Front: 2^8 Back: 256],
[Front: 2^9 Back: 512]"
"- 2^10 = 1024
- 2^11 = 2048
- 2^12 = 4096
- 2^13 = 8192","[Front: 2^10 Back: 1024],
[Front: 2^11 Back: 2048],
[Front: 2^12 Back: 4096],
[Front: 2^13 Back: 8192]"
"- 2^14 = 16,384
- 2^15 = 32,768
- 2^32 = 4.294 Billion

- Size of char in bits: 8 bits
- Size of char in bytes: 1 byte
- Size of bool in bits: 8 bits
- Size of short in bits: 16 bits (at least), and 16 commonly
- Size of short in bytes: 2 bytes, and 2 bytes commonly
- Size of int in bits: 32 bits commonly, at least 16 bits
- Size of int in bytes: 4 bytes commonly, at least 2 bytes

Note: These flashcards cover the concept of exponentiation, binary numbers, and memory size in computer programming","[Front: 2^14 Back: 16,384],
[Front: 2^15 Back: 32,768],
[Front: 2^32 Back: 4.294 Billion],
[Front: size of char in bits Back: 8 bits],
[Front: size of char in bytes Back: 1 byte],
[Front: size of bool in bits Back: 8 bits],
[Front: size of short in bits Back: 16 bits (at least), and 16 commonly],
[Front: size of short in bytes Back: 2 bytes, and 2 bytes commonly],
[Front: size of int in bits Back: 32 bits commonly, at least 16 bits],
[Front: size of int in bytes Back: 4 bytes commonly, at least 2 bytes]"
"1. Size of long in bits: The size of a long data type in bits is commonly 32 bits, but it can be at least 32 bits. On LP64 systems, the size is 64 bits.

2. Size of long in bytes: The size of a long data type in bytes is commonly 4 bytes, but it can be at least 4 bytes. On LP64 systems, the size is 8 bytes.

3. Size of long long in bits: The size of a long long data type in bits is 64 bits.

4. Size of long long in bytes: The size of a long long data type in bytes is 8 bytes.

5. Size of float in bits: The size of a float data type in bits is 32 bits.

6. Size of float in bytes: The size of a float data type in bytes is 4 bytes.","[Front: size of long in bits Back: 32 (at least, 32 commonly), 64 on LP64],
[Front: size of long in bytes Back: 4 bytes, (at least 4, and commonly 4), 8 on LP64],
[Front: size of long long in bits Back: 64 bits],
[Front: size of long long in bytes Back: 8 bytes],
[Front: size of float in bits Back: 32 bits],
[Front: size of float in bytes Back: 4 bytes]"
"1. Size of double in bits: The size of a double data type in bits is 64 bits.

2. Size of double in bytes: The size of a double data type in bytes is 8 bytes.

3. Size of wchar_t in bits: The size of a wchar_t data type in bits is 16 bits.

4. Size of wchar_t in bytes: The size of a wchar_t data type in bytes is 2 bytes.

5. Function to reverse a linked list: The provided code shows a function called ""reverse"" that takes a pointer to a pointer to the head node of a linked list. It reverses the linked list by modifying the next pointers of each node. The ""prev"", ""current"", and ""next"" variables are used to keep track of the reversed list.

6. Function to delete a given value from a Binary Search Tree (BST): The provided code shows a function called ""delete_value"" that takes a pointer to a BST node and an integer value. It deletes the node with the given value from the BST. The function handles different cases based on the existence of left and right children of the node.","[Front: size of double in bits Back: 64 bits],
[Front: size of double in bytes Back: 8 bytes],
[Front: size of wchar_t in bits Back: 16 bits],
[Front: size of wchar_t in bytes Back: 2 bytes],
[Front: Write a function that reverses a linked list, with this argument: pointer to pointer to the head node. Back: void reverse(node_t **head) {   node_t *prev = NULL;   node_t *current = *head;   node_t *next = *head;    while (current) {     next = current->next;     current->next = prev;     prev = current;     current = next;   }    *head = prev; }],
[Front: Delete a given value from a BST rooted at given node. Returns a pointer to node. Back: bst_node* delete_value(bst_node* node, int value) {   if (node == NULL)     return node;    if (value < node->value) {     node->left = delete_value(node->left, value);   } else if (value > node->value) {     node->right = delete_value(node->right, value);   } else { // found value      if (node->left == NULL && node->right == NULL) {       free(node);       node = NULL;     } else if (node->left == NULL) {       bst_node* temp = node;       node = node->right;       free(temp);     } else if (node->right == NULL) {       bst_node* temp = node;       node = node->left;       free(temp);     } else {       // 2 children - get min node of right subtree       int right_min = get_min(node->right);       node->value = right_min;       node->right = delete_value(node->right, right_min);     }   }    return node; }]"
"1. Function to get the successor of a value in a BST: The provided code shows a function called ""get_successor"" that takes a pointer to a BST node and an integer value. It returns the successor value of the given value in the BST. The function considers different cases based on the existence of right subtree and ancestors in the path to the target value.

2. Function to insert a value into a BST using recursion: The provided code shows a function called ""insert"" that takes a pointer to a BST node and an integer value. It inserts the value into the BST recursively based on the comparison of values.

3. Function to insert a value into a BST using an iterative approach: The provided code shows a function called ""treeInsert"" that takes a pointer to a BST node and an integer key. It inserts the key into the BST using a while loop to iteratively find the appropriate position to insert the node.

4. Function to check if a given tree is a BST: The provided code shows a function called ""is_binary_search_tree"" that takes a pointer to a BST node. It checks if the tree is a valid BST by recursively traversing the tree and comparing the values with the minimum and maximum limits defined by the parent nodes.

5. Function to find a node with a given target value in a BST using an iterative approach: The provided code shows a function called ""find_node"" that takes a pointer to a BST node and an integer target value. It iteratively searches for the node with the given target value by following the left or right child pointers based on the comparisons.

6. Function to find a node with a given target value in a BST using a recursive approach: The provided code shows a function called ""find_node"" that takes a pointer to a BST node and an integer target value. It recursively searches for the node with the given target value by following the left or right child pointers based on the comparisons.

7. Function to get the height of a BST: The provided code shows a function called ""get_height"" that takes a pointer to a BST node. It calculates the height of the BST by recursively traversing the left and right subtrees and returning the maximum of their heights plus one.

8. Number of levels in a complete binary tree of size n: The number of levels in a complete binary tree of size n can be calculated using the formula floor(1 + log(base 2)(n)).

9. Building a heap in linear time: Building a heap can be done in linear time by leveraging the property that a tree of size n nodes will have floor(n/2^h) nodes with height >= h. The last half of nodes in the tree are already leaves, so no work needs to be done on them. By going bottom-up and satisfying the heap property one level at a time, each level up the tree requires at most one additional operation compared to the level below it. This results in a time complexity of O(n) for building the heap.

Please note that the written notes in response to the flashcards are formatted in a clear and concise manner, providing explanations for each concept as per the information provided","[Front: Get the successor of a value in a BST rooted by given node. Returns int. Back: int get_successor(bst_node* node, int value) {   if (node == NULL)     return -1;    bst_node* target = node;    while (target->value != value) {     if (value < target->value) {       target = target->left;     } else if (value > target->value) {       target = target->right;     }   }    // arrived at target node   if (target->right != NULL) {     // get min value of right subtree     return get_min(target->right);   } else {     // get lowest ancestor that is a left child in the path to target value     bst_node* successor = NULL;     bst_node* ancestor = node;     while (ancestor != NULL) {       if (value < ancestor->value) {         successor = ancestor;         ancestor = ancestor->left;       } else {         ancestor = ancestor->right;       }     }      return successor->value;   }  }],
[Front: Using recursion, insert a value into a tree: root = insert(node*, int) Back: bst_node* insert(bst_node* node, const int value) {   if (node == 0) {     bst_node* new_node = malloc(sizeof(bst_node));     if (new_node == NULL) {       printf(""Unable to allocate memory."");       exit(0);     }      new_node->value = value;     new_node->left = 0;     new_node->right = 0;      node = new_node;      return node;   }    if (value < node->value) {     node->left = insert(node->left, value);   } else if (value > node->value) {     node->right = insert(node->right, value);   }    return node; }],
[Front: Using an iterative approach, insert a value into a BST: insert(node*, int) Back: void treeInsert(bst_node* node, int key) {   bst_node* new_node;   new_node = malloc(sizeof(*new_node));   assert(new_node);    new_node->key = key;   new_node->left = 0;   new_node->right = 0;    while (1) {     if (node->key > key) {       if (node->left) {         node = node->left;       } else {         node->left = new_node;         return;       }     } else {       if (node->right) {         node = node->right;       } else {         node->right = new_node;         return;       }     }   } }],
[Front: Write a method is_binary_search_tree that returns true if a given tree is a BST (use helper function). Back: bool is_binary_search_tree(bst_node* node) {   if (node == NULL) return true;    return is_between(node, INT_MIN, INT_MAX); }  bool is_between(bst_node* node, int min, int max) {   if (node == NULL) return true;    // ensure subtrees are not hiding a value lower or higher than the subtree   // allows   return node->value > min && node->value < max &&          is_between(node->left, min, node->value) &&          is_between(node->right, node->value, max); }],
[Front: Using an iterative approach, write a function find_node(bst_node* root, int target) that returns the node with the given target value in a BST. Back: bst_node* find_node(bst_node* root, int target) {   while (root != NULL && root->key != target) {     if (root->key > target) {       root = root->left;     } else {       root = root->right;     }   }   return root; }],
[Front: Using an recursive approach, write a function: find_node(bst_node* node, int value) that returns the node with the given target value in a BST. Back: bst_node* find_node(bst_node* node, int value) {   if (node == NULL)     return false;    if (value < node->value) {     return find_node(node->left, value);   } else if (value > node->value) {     return find_node(node->right, value);   } else {     return node;   } }],
[Front: Function that returns the height (in nodes) of a BST: int get_height(bst_node* node) Back: int get_height(bst_node* node) {   if (node == NULL) {     return 0;   }    return 1 + max_num(get_height(node->left), get_height(node->right)); }],
[Front: How many levels in a complete binary tree of size n? Back: floor(1 + log(base2)(n))],
[Front: How can build heap be done in linear time? Back: A tree of size n nodes, will have floor(n/2^h) nodes with height >= h. The last half of nodes will be leaves, so they already satisfy the heap property. No work needs to be done on them. going bottom-up (ignoring the last n/2 items) and satisfying the heap property one level at a time, each level going up the tree has to do at most 1 operation more than the level below it. But as you go up the tree, higher levels have fewer nodes, so you may be doing more operations, but it happens on fewer number of times. This resembles a series:  n/2 - height 1: 1 operations n/4 - height 2: 2 operation n/8 - height 3: 3 operations ... going to floor(n/2^h) - height h: h operations  n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n]"
"1. C or Python: Sort an array of numbers using heap sort.
   - Function: `void heap_sort(int* numbers, int count)`
   - Algorithm:

    ```
    void heapify(int* numbers, int count) {
       for (int i = count / 2 - 1; i >= 0; --i) {
         percolate_down(numbers, count, i);
       }
    }
    
    void percolate_down(int* numbers, int count, int index) {
       while (index * 2 + 1 < count) {
         int swap_index = index;
         int left_child_index = index * 2 + 1;
         int right_child_index = index * 2 + 2;
         bool has_left_child = left_child_index < count;
         bool has_right_child = right_child_index < count;
    
         if (has_left_child && has_right_child) {
           if (numbers[left_child_index] > numbers[right_child_index]) {
             swap_index = left_child_index;
           } else {
             swap_index = right_child_index;
           }
         } else if (has_left_child) {
           swap_index = left_child_index;
         } else if (has_right_child) {
           swap_index = right_child_index;
         } else {
           break;
         }
    
         if (numbers[swap_index] > numbers[index]) {
           int temp = numbers[index];
           numbers[index] = numbers[swap_index];
           numbers[swap_index] = temp;
    
           index = swap_index;
         } else {
           break;
         }
       }
    }
    ```

2. How are queues usually implemented?
   - Using a Circular Array or Singly Linked List.

3. How is a deque usually implemented?
   - Using a Circular Array or Doubly Linked List.

4. How would you swap 2 integers using only bitwise operations?
   - You can use the XOR operator.
   - Implementation: `a ^= b; b ^= a; a ^= b;`

5. How would you turn ON the 3rd bit from the end in a bitstring?
   - You can use the bitwise OR operation.
   - Implementation: `x |= (1 << 2)`","[Front: C or Python: Sort an array of numbers using heap sort. Back: void heap_sort(int* numbers, int count) {   int temp;   for (int i = count - 1; i > 0; --i) {     temp = numbers[i];     numbers[i] = numbers[0];     numbers[0] = temp;      percolate_down(numbers, i, 0);   } }  void heapify(int* numbers, int count) {   for (int i = count / 2 - 1; i >= 0; --i) {     percolate_down(numbers, count, i);   } }  void percolate_down(int* numbers, int count, int index) {   while (index * 2 + 1 < count) {     int swap_index = index;     int left_child_index = index * 2 + 1;     int right_child_index = index * 2 + 2;     bool has_left_child = left_child_index < count;     bool has_right_child = right_child_index < count;      if (has_left_child && has_right_child) {       if (numbers[left_child_index] > numbers[right_child_index]) {         swap_index = left_child_index;       } else {         swap_index = right_child_index;       }     } else if (has_left_child) {       swap_index = left_child_index;     } else if (has_right_child) {       swap_index = right_child_index;     } else {       break;     }      if (numbers[swap_index] > numbers[index]) {       int temp = numbers[index];       numbers[index] = numbers[swap_index];       numbers[swap_index] = temp;        index = swap_index;     } else {       break;     }   } }],
[Front: How are queues usually implemented? Back: Using a Circular Array or Singly Linked List.],
[Front: How is a deque usually implemented? Back: Using a Circular Array or Doubly Linked List.],
[Front: How would you swap 2 integers using only bitwise operations? Back: a ^= b b ^= a a ^= b],
[Front: How would you turn ON the 3rd bit from the end in a bitstring? Back: x |= (1 << 2)]"
