#separator:tab
#html:false
Computer System subcategories:	HardwareSoftware
Hardware	All physical parts of a computer system and its relevant devices; both internal and external  e.g. Motherboard, HDD, RAM, monitors, keyboards, mice, printers etc
Software	General term covering all computer programs.
Categories of software	System Software Applications Software
Application Software Subcategories	General purpose softwareSpecial purpose softwareOff the shelfBespoke
General purpose software	No specific purpose. Carries out different tasks and meet multiple needs. Can be used for many different purposes. Product that allow users to be productive in multiple ways.  e.g. Word processor - can be used for tasks that can be fulfilled by bespoke software such as posters and flyers.  e.g. Graphics - package - used to produce advertisements or animations, manipulate photographs, draw vector or bitmapped images.
Special Purpose software	Perfrorms a single specified task or set of tasks. Other than its specified task, it has little more use. It takes the functionality of a general application further.  Tend to be only installed on systems if there is a need for it.  e.g. Payroll and accounts packages, hotel booking systems, fingerprint scanning systems. Database software. Although it may be highly specific, it is almost essential in creating a serious database in an application, its functionality could be copied in a spreadsheet sofware there would be limitations.  Off the shelfBespoke
Off the shelf	Ready to use application that could be bought straight away.  e.g. if a hotel wants to buy some visitor booking software they may be able to buy a ready made package that is suitable for their needs.
Bespoke	Custom made software with certain specifications and functionality fit to made the requirments of a customer.
Off the shelf vs Bespoke                 Off the shelfBespoke                 Less expensive since the cost is shared among all the other people buying the packageMore costly and requires expertise to analyse document requirementsMay contain a lot fo unwanted features, and some desireable but non essential features may be missingFeatures customised to user requirments and other features can be added as needs ariseReady to be installed immediatelyMay take long to developWell documented, well tested and error freeMay contain errors which do not surface immediately.	
Systems software	The software needed to run the computer's hardware and application programs. This includes the OS, utility programs, libraries and programming language translators.
Utility software summary	Sub category of system softwareSits alongside OSMany OS' come with utility software pre installedCan also be bought
Utility software is designed to:	Optimise the performance of the computer Keep computer safeProvide useful tools to manage files and applications
Types of Utility software	File RepairFile managementDevice DriversDefragmentationBack upsAnti malwareCompression
File repair software	Attempts to correct issues with damaged/corrupted files and restore them to its original working state. Often built in to applications but there can also be dedicated software found in OS' or even bought by vendors.
Back up software	Can be set up to manual, automatic or schedueled. Allows users to specify the destination of the back up, what you want to back up, how you want to run the back up (full back that zips the files, or mirror back ups that doesn't zip them)  Can be full or incremented back ups: Full is taking a copy of the selected files in their current state, each time. Takes up more storage.Incremented is only addind the new changes to a full back up. Back ups can be stored onto a different media or an offsite cloud system. Usually pre installed but can also be purchased.
Disk Defragmentation	A program that reorganises a magnetic hard disk so that files which have been split into blocks and stored all over the disk will be recombined in a asingle series of sequential blocks, making gile reading quicker. Puts fragments of files and free space back together. - Reduces the movment of the read/write head across the surface of the disk which speeds up file access as head is moving less.
