#separator:tab
#html:false
Array	A finite, ordered set of elements of the same type such as integer, real or char. Allocates a contiguous part of memory to store the data. Finite meaning there is a specific number of elements in the array, ordered meaning that there is a 1st, 2nd, 3rd, ... element in the array. Indexing can be used to easily access or reference the data.
Multidimentional arrays	Array's can 2 or more dimensions. A 2 dimensional array can be visualised as a table, with 2 sets of indexes, one for rows, one for columns. A 3 dimensional array can be visualised as a cube. An n dimensional array is a set of elements of the same type indexed by n integers.
Record	A collection of related fields. A field contains one data item, and each field in a record can have different data types. Usually used in database files that hold a number of records.
How to use a record data structure	Define the record structure, what fields are in the record.Declare a variable or array to use with the record structure.Assign and retrive data from record variable record.
List	Abstract data type consisting of a number of items which the same item may occur that once. Lists are indexed so they can be refered to the nth item. Same data type. List is useful data type for a wide variety of operations and can be used to implement other data structures such as queues, stack or tree. Python has a build in list data type.
Static data structure	Structure size cannot be changed at run time. Fixed in size, cannnot increase in size or free up memory while program is running. e.g. Array.
Dynamic data structure	Structure size can change at run time. Refers to a collection of data in memory that has the ability to grow or shrink in size, achieves this with the heap which is a portion of memory from which space is automatically allocated or deallocated as required.
Mutable	Structure / data can be change at run time.
Immutable	Structure / data cannot be changed at run time.
Tuple	Ordered set of values, which could be elements of any type such as strings, integers or real numbers or even graphic images, sound files or arrays. Elements do not have to be all of the same type. Immutable, elements cannot be changed. Cannot dynamically add elements to or delete elements from a tuple. Similar to lists but are of a fixed size.
Difference between lists, array and tuples.	List​Array​Tuple​                 ​DynamicStatic​Static​​MutableMutable​​Immutable​Ordered collection of items​Ordered collection of items​Ordered collections of items​Items can be changed or replacedItems can be changed or replaced​Items cannot be changed or replaced​​Can store more than one data typeOnly one data type​More than one data type​
Linked list	Dynamic data structure used to hold an ordered sequence of items. Items in the list are not necessarily held in contiguous data locations or in the order in which they occur in sequence. Each item in the list is called a node and contains a data field and link / pointer field that points to the address of the next node. Data field contains the actual data associated with the listed item.
Doubly linked list	Where nodes can point to both the previous and next node with an extra pointer.
Circular linked list	Made by making the last node contain a pointer to the first node.
Circular doubly linked list	Circular linked list where each node has additional pointers to previous nodes.
Implementing linked lists using a static array	Linked lists can be implemented using static arrays. As static, arrays stored contiguously in memory, requiring use of index register to determine where a specific index is in relation to a base address.
Implementing linked list using objects	With linked list that uses objects, any available memory address can be used to store data. Does not need to be adjacent as each node points to next in the structure. The memory foot print of the data is not determined at compile time and can changed dynamically at run time.
Applications of linked list	Used by OS' managing a process to store process blocks in a ready state. Image viewers to switch between previous and next images. Audio players to store tracks in a playlist. Web browsers to navigate backwards and forwards. Used for hash table collision resolution as an overflow. Maintaing a file allocation table of linked clusters on secondary storage.
