#separator:tab
#html:false
What is a database	An organised collection of data that allows for easy: adding, modification, deletion and searching.
Electronic Database benefits:	Easy to retrive add, delete and modify data. Easy to back up and make copies of data. Can be accessed by multiple people at the same time from different locations.
Entity	A catergory of object, person, event or thing of interest to an organisation about which data is to be recorded. e.g. Employee, Film, Actor, Product, Recipe, Ingredient. Each entity in a database system has attributes.
Flatfile database	Contains only a single table/file. Very simple and easy to set up. Requires little experience to maintain and is suitbale for storing small amounts of data.
Typical uses of flatfile databases	Storing contact details Small product databases Maintaining game / music collections
Drawbacks of using flatfile databases	Lots of repeated data - takes up storage Takes a long time to querey Difficult to maintain
Example of flatfile database	Surgery employ's multiple dentists, appointment system is required to allow patients to make appointments with particular dentists. Entities: Dentist, Patient and Appointment.  Attributes of Dentist may include, Title, Firstname, Surname, Qualification. Attributes of Patient may include Title, Firstname, Surename, Address, Telephone.
Relationship	The link between tables to infer logic.
Primary Key	A field in each record that is guaranteed to be uniquely identifiable. e.g. DentistID Underlined in entity descriptions.
Foreign Key	A field in a record that provides a relational link to another table. Where a primary key in one table and is placed in a 2nd table, providing a link between the two tables.
Index of primary keys	Databases automatically keep an index of primary keys so a specific Primary Key can be located easily and quickly. It provides a position of each record according to its primary making retrival of records quicker as items don't have to searched sequentially.
Secondary Key	A secondary index field kept and used for search criteria. Example. a doctor searches the patient's Surname as they are unlikely to know PatientID.
Different types of relationships	One to oneOne to manyMany to many
One to one	One studnet has one planner. One planner belongs to one student.
One to many	One tutor group has many students Many students belong to one tutor group  One mother has many children Many children have one mother
Many to many	One student can be taught by many teachers One teacher can have many students. Not good practice
Methods of handling data	Capturing - How do we get the data into the database in the first place Selecting - How do we then query the data and retrive it Managing - How do we manage, manipulate, add, edit and delete data Exchanging - how do wew exchange the data with other people / systems
Capturing Data - Paper based data capture forms	Data input via this method is largely manual.  Involves the human reading the form and typing the information into a computer system. Tactics used to make data capture form fast and error free: Clear labelsClear instructions in capitalsInstruction to complete in black penTick boxesSquares for entering each letter seperately. example: Market research forms.
Capturing Data - Optical Character Recognition	Speed and automate data input Techonology automatically reads text by interpretting the shape of letters. Works better with printed text example : Post Office using OCR software to read postcodes and route mail Road cameras for number plate recognition software.
Capturing Data - Optical Mark Recognition	Very fast and efficient way of collecting data and inputting it into a data base while significantly reducing possibility of human error. Used for multiple choice tests and lottery tickets.
Capturing data - other methods.	Magnetic ink - cheques scanned using magnetic ink character recognition. Bank number, customer account number, and cheque number are printed in special magnetic ink along the bottom of the cheque. Amount of the cheque has to be manually entered by the bank clerk.  Scanners - scanning information at an airport for passports, QR codes.
Selecting Data - SQL	Query language that allows for fast and efficient retrival, deletion and manipluation of data from databases using simple set of commands.
Selecting Data - Query By Example	Query Language that makes use of visual tables where use would enter commands and conditions. Once query is built using QBE, it is converted into statement that can be executed against the database. Doesn't require the user to remember finer SQL syntax.
Managing Data	Databases need to be able to be modified. Done through, adding, editing, and deleting data. This modification can be done through Database Manipulation Languages or inbuilt facilities of the Database Management System (DBMS).
Managing Data - DBMS	Provides layer of abstraction for the user and the programmer. Hides underlaying structure of data and ensures it remains integral by: Preventing the creation of duplicate primary keysEnforcing validation rulesProviding secure accessProviding encryptionProviding program data independanceManaging multiple user's access to data at the same time.
Exchanging Data	Data must be able to be exchanged between other systems or applications such as: Spreadsheet software Accounting programs
